Afghanistan,AFG,20.2,110
Albania,ALB,36.8,13
Algeria,DZA,33.3,30
Argentina,ARG,35.2,19
Armenia,ARM,25.7,73
Australia,AUS,21.2,105
Austria,AUT,30.5,43
Bangladesh,BGD,38.4,8
Belarus,BLR,21.7,102
Belgium,BEL,23.7,87
Belize,BLZ,33.8,27
Benin,BEN,13.4,137
Bhutan,BTN,28.6,56
Bolivia,BOL,23.3,92
Bosnia and Herzegovina,BIH,25.3,76
Botswana,BWA,16.6,126
Brazil,BRA,34.3,23
Bulgaria,BGR,20.4,109
Burkina Faso,BFA,17.9,119
Burundi,BDI,15.6,131
Cambodia,KHM,25.6,74
Cameroon,CMR,16.7,124
Canada,CAN,23.9,85
Chad,TCD,12.8,140
Chile,CHL,31.7,35
China,CHN,25.7,72
Colombia,COL,40.7,3
Comoros,COM,23.1,93
Costa Rica,CRI,44.7,1
Cote d'Ivoire,CIV,14.4,135
Croatia,HRV,30.2,47
Cyprus,CYP,30.7,41
Czech Republic,CZE,27.3,64
Denmark,DNK,32.7,32
Djibouti,DJI,16.4,127
Dominican Republic,DOM,30.3,45
Ecuador,ECU,37,10
Egypt,EGY,23.8,86
El Salvador,SLV,35.6,17
Estonia,EST,17.9,118
Ethiopia,ETH,26.7,66
Finland,FIN,31.3,37
France,FRA,30.4,44
Gabon,GAB,17.5,120
Georgia,GEO,31.1,40
Germany,DEU,29.8,49
Ghana,GHA,21.4,104
Greece,GRC,23.6,89
Guatemala,GTM,34.2,26
Guinea,GIN,15.9,129
Haiti,HTI,28.6,57
Honduras,HND,27.2,65
Hong Kong,HKG,16.8,123
Hungary,HUN,26.4,69
Iceland,ISL,31.1,39
India,IND,29.2,50
Indonesia,IDN,35.7,16
Iran,IRN,24,84
Iraq,IRQ,26.5,67
Ireland,IRL,30,48
Israel,ISR,28.8,54
Italy,ITA,28.1,60
Jamaica,JAM,36.9,11
Japan,JPN,28.3,58
Kazakhstan,KAZ,19.1,114
Kenya,KEN,24.2,83
Kyrgyzstan,KGZ,33.1,31
Latvia,LVA,17.1,121
Lebanon,LBN,21.9,100
Lesotho,LSO,16.7,125
Liberia,LBR,22.2,96
Lithuania,LTU,21,107
Luxembourg,LUX,13.2,139
Macedonia,MKD,23.4,90
Malawi,MWI,22.1,98
Malaysia,MYS,30.3,46
Malta,MLT,29,53
Mauritania,MRT,18,117
Mauritius,MUS,27.4,63
Mexico,MEX,40.7,2
Mongolia,MNG,14.3,136
Montenegro,MNE,25.1,78
Morocco,MAR,32.7,33
Mozambique,MOZ,23.7,88
Myanmar,MMR,24.7,81
Namibia,NAM,21.6,103
Nepal,NPL,30.5,42
Netherlands,NLD,35.3,18
New Zealand,NZL,31.3,38
Nicaragua,NIC,38.7,7
Niger,NER,16.8,122
Nigeria,NGA,22.2,95
Norway,NOR,36.8,12
Oman,OMN,21.1,106
Pakistan,PAK,31.5,36
Palestine,PSE,34.5,22
Panama,PAN,39.5,6
Paraguay,PRY,23.3,91
Peru,PER,34.6,21
Philippines,PHL,35,20
Poland,POL,27.5,62
Portugal,PRT,24.8,79
Republic of Congo,COG,18.8,115
Romania,ROU,28.8,55
Russia,RUS,18.7,116
Rwanda,RWA,19.6,111
Senegal,SEN,21.9,101
Serbia,SRB,29,52
Sierra Leone,SLE,15.3,133
Slovakia,SVK,28.2,59
Slovenia,SVN,24.6,82
South Africa,ZAF,15.9,128
South Korea,KOR,24.8,80
Spain,ESP,36,15
Sri Lanka,LKA,33.8,28
Suriname,SUR,25.4,75
Swaziland,SWZ,15.5,132
Sweden,SWE,28,61
Switzerland,CHE,34.3,24
Syria,SYR,19.1,113
Tajikistan,TJK,34.2,25
Tanzania,TZA,22.1,97
Thailand,THA,37.3,9
Togo,TGO,13.2,138
Trinidad and Tobago,TTO,15.7,130
Tunisia,TUN,26.2,71
Turkey,TUR,26.4,68
Turkmenistan,TKM,14.6,134
Uganda,UGA,19.4,112
Ukraine,UKR,26.4,70
United Kingdom,GBR,31.9,34
United States of America,USA,20.7,108
Uruguay,URY,36.1,14
Uzbekistan,UZB,29.1,51
Vanuatu,VUT,40.6,4
Venezuela,VEN,33.6,29
Vietnam,VNM,40.3,5
Yemen,YEM,22.8,94
Zambia,ZMB,25.2,77
Zimbabwe,ZWE,22.1,99
